data,close_dolar,close_ibov,close_marfrig,close_jbs,close_brf,value_ipca,saldo_balanca_com,value_exp_carnes
apr/2010,1.7654000520706177,71136.0,11.297521591186523,4.923181056976318,5.570797920227051,0.57,14007783168.0,300196785.0
apr/2011,1.6272000074386597,69268.0,7.89703369140625,3.573925018310547,4.838961124420166,0.77,18458870399.0,340074636.0
apr/2012,1.825700044631958,65216.0,6.704399108886719,4.769278526306152,5.773365020751953,0.64,18849751858.0,342856574.0
apr/2013,2.0190000534057617,55902.0,4.676177501678467,4.11395788192749,10.084142684936523,0.55,21788737806.0,435799881.0
apr/2014,2.2692999839782715,50270.0,2.4958388805389404,4.627227306365967,7.582352638244629,0.67,19352300589.0,422337850.0
apr/2015,3.188499927520752,52322.0,2.2986509799957275,9.211318016052246,5.619408130645752,0.71,14799978318.0,346099018.0
apr/2016,3.5864999294281006,50562.0,3.7747457027435303,6.739844799041748,8.77551555633545,0.61,10658991407.0,338997067.0
apr/2017,3.121799945831299,65211.0,3.211350440979004,6.6632208824157715,7.528467178344727,0.14,11459643696.0,291948514.0
apr/2018,3.302000045776367,84666.0,3.2845919132232666,6.17857027053833,5.894169807434082,0.22,14653559274.0,280557290.0
apr/2019,3.922499895095825,96054.0,3.408539056777954,10.725226402282715,5.609350681304932,0.57,14664020352.0,427056791.0
apr/2020,5.203499794006348,70967.0,5.18323278427124,14.387846946716309,6.6379899978637695,-0.31,11431019725.0,508449100.0
apr/2021,5.63129997253418,115253.0,10.067866325378418,20.58980941772461,8.446999549865723,0.31,16096324095.0,597990518.0
apr/2022,4.737800121307373,121570.0,14.40780258178711,28.55108070373535,11.719391822814941,1.06,20742942801.0,977022658.0
apr/2023,5.062300205230713,101506.0,5.3682026863098145,14.082069396972656,9.608882904052734,0.61,19145984913.0,525623788.0
apr/2024,5.013199806213379,126990.0,8.835201263427734,17.93488121032715,6.849999904632568,0.38,21896365060.0,941148668.0
aug/2010,1.742900013923645,68517.0,9.943458557128906,5.339650630950928,5.199409484863281,0.04,16961829274.0,389185864.0
aug/2011,1.5464999675750732,58536.0,8.546700477600098,2.7972490787506104,4.2837934494018555,0.37,22405400011.0,347275435.0
aug/2012,2.0566999912261963,55623.0,5.256474018096924,3.209857940673828,7.158972263336182,0.41,19312716179.0,418221686.0
aug/2013,2.273699998855591,49141.0,4.02263879776001,4.284015655517578,7.205159664154053,0.24,20364218693.0,472464609.0
aug/2014,2.2602999210357666,55903.0,3.7747457027435303,5.435173034667969,9.006447792053223,0.25,19437036957.0,534041436.0
aug/2015,3.4193999767303467,50138.0,2.9014832973480225,9.324389457702637,8.490694046020508,0.22,12937800630.0,403256039.0
aug/2016,3.2462000846862793,56756.0,3.1324756145477295,7.220129013061523,7.351417541503906,0.44,13000671538.0,350518616.0
aug/2017,3.1257998943328857,66516.0,3.6451644897460938,5.061168193817139,9.968663215637207,0.19,14789290641.0,519487497.99999994
aug/2018,3.753000020980835,79302.0,4.580399990081787,6.000311851501465,5.941638946533203,-0.09,19768276314.0,589830608.0
aug/2019,3.8117001056671143,102126.0,3.7691118717193604,17.249549865722656,6.764449119567871,0.11,17603930758.0,563907137.0
aug/2020,5.221199989318848,102830.0,8.169225692749023,15.214144706726074,10.797798156738281,0.24,11585200604.0,654098449.0
aug/2021,5.208700180053711,122516.0,11.280628204345703,23.19510841369629,7.983973979949951,0.87,19557276638.0,1031564006.0000001
aug/2022,5.171199798583984,102225.0,9.445747375488281,24.88597869873047,12.327849388122559,-0.36,26680226835.0,1245977695.0
aug/2023,4.724699974060059,121248.0,6.348113536834717,16.35289764404297,10.052255630493164,0.23,21468484469.0,835703819.0
aug/2024,5.656599998474121,127395.0,10.05207633972168,29.662193298339844,6.460000038146973,-0.02,24219210009.0,964290196.0
dec/2010,1.7144999504089355,69346.0,7.41005802154541,4.059348106384277,4.828024864196777,0.63,15707163779.0,284272957.0
dec/2011,1.8079999685287476,58143.0,4.501524448394775,3.786297082901001,3.7511327266693115,0.5,18477262036.0,313459315.0
dec/2012,2.1338999271392822,58202.0,6.033958911895752,3.3858234882354736,7.89026403427124,0.79,17662214372.0,386145216.0
dec/2013,2.3308000564575195,51245.0,2.405696153640747,5.062371253967285,7.882566928863525,0.92,18352387728.0,517824870.00000006
dec/2014,2.5315001010894775,52276.0,3.386002779006958,6.927058696746826,8.336738586425781,0.78,17314237984.0,462530212.0
dec/2015,3.8666000366210938,45047.0,3.2902257442474365,7.309320449829102,8.77551555633545,0.96,10686340015.0,430047455.0
dec/2016,3.4063000679016113,59507.0,3.58319091796875,5.942518711090088,9.375943183898926,0.3,11666728798.0,365912792.0
dec/2017,3.271199941635132,72264.0,3.876156806945801,5.34380578994751,8.702801704406738,0.44,13323465863.0,466853419.0
dec/2018,3.8652000427246094,89820.0,3.58319091796875,7.903494358062744,4.398870468139648,0.15,13640421233.0,482756934.0
dec/2019,4.236100196838379,109061.0,6.112834453582764,18.6374454498291,12.183919906616211,1.15,13248186239.0,744306716.0
dec/2020,5.331099987030029,111335.0,8.141056060791016,15.883566856384277,8.110333442687988,1.35,15748589294.0,642233305.0
dec/2021,5.620871067047119,100775.0,13.268495559692383,25.177406311035156,7.690849781036377,0.73,20419466049.0,612379666.0
dec/2022,5.181589126586914,110926.0,6.133455753326416,17.557817459106445,11.289488792419434,0.62,21809042646.0,756266265.0
dec/2023,4.923099994659424,128103.0,8.6038236618042,20.514202117919922,7.46999979019165,0.56,19463062497.0,947877714.0
dec/2024,5.973199844360352,125236.0,16.20500946044922,35.12809753417969,6.010000228881836,0.52,20245157064.0,1002973520.0
feb/2010,1.8624000549316406,66572.0,12.77596378326416,5.72758150100708,5.110278606414795,0.78,11936118599.0,264910463.0
feb/2011,1.6670000553131104,67847.0,7.655001640319824,3.901585817337036,4.93201208114624,0.8,15689000891.0,323596434.0
feb/2012,1.7447999715805054,64567.0,4.676177501678467,4.022940635681152,3.9461913108825684,0.45,16476146495.0,269476178.0
feb/2013,1.9905999898910522,60351.0,5.870574474334717,4.5326337814331055,10.007165908813477,0.6,16981570962.000002,349904042.0
feb/2014,2.422300100326538,46148.0,2.2930171489715576,4.939795017242432,8.236665725708008,0.69,18190582391.0,500789219.0
feb/2015,2.678800106048584,47651.0,2.7493669986724854,7.026106357574463,6.543146133422852,1.22,15063076630.0,326977590.0
feb/2016,3.9971001148223877,40570.0,3.447977066040039,6.739844799041748,9.429829597473145,0.9,10448566313.0,388012925.0
feb/2017,3.150099992752075,64836.0,3.7127721309661865,8.078417778015137,9.26817512512207,0.33,11046775404.0,325225497.0
feb/2018,3.1847000122070312,85495.0,3.831085443496704,6.697832107543945,7.729669094085693,0.32,13268767883.0,393633983.0
feb/2019,3.6428000926971436,97861.0,3.605727195739746,9.82650375366211,4.841922283172607,0.43,13566766788.0,433044820.0
feb/2020,4.282599925994873,114629.0,6.338192939758301,18.584575653076172,9.90468692779541,0.25,13849450579.0,489658587.0
feb/2021,5.4608001708984375,117365.0,7.498785495758057,16.383943557739258,7.668551921844482,0.86,14539172569.0,463474718.0
feb/2022,5.303100109100342,113147.0,15.098078727722168,26.625349044799805,8.295130729675293,1.01,18884032639.0,888122385.0
